,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect,Food price effect,Food quantity effect,Food value effect
A_EpsA,0.0013353465106501284,0.03475375699269166,0.035292515352258746,0.1728871561663714,0.08392687059131201,0.03475375699269166,0.04370096410848562,4.0,0.0,-0.038372974615582756,0.08831276278974329,-0.008587670541560816
A_LA,0.0017664344945895708,0.05631994247698452,0.038140429587341096,-0.04665879540003979,-0.028362876817417098,0.05631994247698452,0.04911621689013812,4.0,0.0,-0.16946923986843804,0.16370194750671593,-0.034486881465897845
A_MA,0.006930351156304944,0.18036946817869653,0.18316558483486567,0.8972717516328741,0.43557434718901233,0.18036946817869653,0.49284245700348467,4.0,0.0,-0.6554812864047656,0.5712308485401045,-0.13370815438465344
A_P,0.0004981278549850141,0.01338682164742987,0.006735135462010433,-0.24811622836564257,0.04586148259755651,0.01338682164742987,0.04466554287405651,4.0,0.0,-0.06414750106328099,0.05246480934073127,-0.012944770961346247
A_W,0.0002648553227818086,0.006893130324426774,0.006999988745115537,0.03429078758664647,-0.17253916299703465,0.006893130324426774,0.012605984928408955,4.0,0.0,-0.018338250518464334,0.017516131661618545,-0.004104004324367066
Eps_AB,0.0001127273002263398,0.0029056146765464013,0.006139778996494538,0.07543119571053095,0.02888087284183979,0.0029056146765464013,-0.013851680409712977,0.0,-2.0,0.09797447688670666,-0.007489656721370309,0.02996697405514788
Eps_EEps,0.00040124102668454654,0.01696490458444133,0.01393968786019828,0.18773286101301584,0.0013154397923264153,0.01696490458444133,0.12408972904113162,2.0,0.0,-0.033269753320697426,0.11125632780971195,0.00983922575453014
Eps_R,-0.0004197188869476889,-0.006948141064671187,0.0024783128040772873,0.018809591391298383,6.624524889509624e-05,-0.006948141064671187,0.008786508319134998,0.0,-1.0,-0.002112909019072809,0.007931155585936695,0.0005771153705298481
Fi_EFi,6.554279884836344e-05,0.0005813901741445833,0.012589215827862876,-0.0004823162134494326,-0.0007223447417375444,0.0005813901741445833,0.0062432107421910256,2.0,-1.0,-0.003987200187592881,0.006750693808417171,-0.000891209212591722
Fi_MFi,0.00031233233759773944,0.004214415573298404,0.042551043040106595,-0.008076829002862896,-0.005185964866486153,0.004214415573298404,0.023899497642346265,2.0,-1.0,-0.02621279554381006,0.025848278190903736,-0.005330073257772811
P_EP,-0.00012693826542249602,-0.0047564533688901,0.0061688464384590525,-0.6114736190050332,0.00447403112544025,-0.0047564533688901,0.0035101942938460494,2.0,-1.0,-0.0035573285587929236,0.005521737650623943,-0.000731516396750855
P_MP,0.000535072317364889,0.0151628272385412,0.04730352323101261,1.1662870010812112,0.023627643707046495,0.0151628272385412,0.03180438228394977,4.0,0.0,-0.030892844278454946,0.036787235920092407,-0.0063043821881446915
P_Pho,0.00039197893632291213,0.010777745213505548,0.026413447950413005,-0.241796451900472,0.019069291712447006,0.010777745213505548,0.012462594121253251,4.0,0.0,-0.014790252498067943,0.0220781113267881,-0.003406998074495911
T_LT,0.00014178970664877597,0.0032174308141310563,0.12564129539415214,-0.00029456270830412987,6.67393256931069e-05,0.0032174308141310563,0.020412662185454546,4.0,0.0,0.0012605003256534694,0.0014986556010243993,-0.0004013942984728673
T_MT,0.00026104868818822434,0.00698887217323352,0.20241610256733766,0.0003809230985314812,0.00046976344217892953,0.00698887217323352,-0.0019454599085466646,2.0,-1.0,0.003413403311174164,-0.0016204025898084637,-0.00040917492803573766
Y_EpsY,-9.629667205270537e-05,0.0058830059384399795,0.011690706988509714,0.22524159366499555,0.014683575118320254,0.0058830059384399795,0.06944659985036888,0.0,-1.0,0.009698506504985296,0.07604219326878232,0.02705214029989781
Y_MY,0.026689646941762124,0.6070594084516712,0.13002070700935953,0.49334482591798023,0.27944078589304455,0.6070594084516712,-0.37905083488942787,4.0,0.0,0.23833859650101813,0.32138149080338174,0.43928986667199865
