,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect,Food price effect,Food quantity effect,Food value effect
A_EpsA,9.388787649048256e-05,0.00432065471086057,0.007427967773410149,-0.0016251513714118804,0.0005100688347537286,0.00432065471086057,0.009574491130864301,4.0,0.0,-0.12662220528170037,0.02573115644378208,-0.03839046161443588
A_LA,0.0005413802739118919,0.031028353347658244,0.02627697782758842,-0.16162258654232764,-0.06804904328081933,0.031028353347658244,-0.10192514218417967,4.0,0.0,-0.2288078349732805,0.1175627438215287,-0.08562646413170308
A_MA,0.0017541764729630763,0.08072598001891115,0.13878220274055053,-0.030363902212905886,0.009529992401174192,0.08072598001891115,0.14907273539250432,4.0,0.0,-0.7984723156353628,0.45623758604780584,-0.296850372175151
A_P,8.152923913033172e-05,0.00506534896526933,-0.02300831765937872,-1.3224131649104365,0.0008033436282414985,0.00506534896526933,0.014525793834335457,4.0,0.0,-0.07235065126638843,0.043320310453504436,-0.026891563687350538
A_W,4.486854138823783e-05,0.002064819036973162,0.0035497882360124855,-0.0007766516220839128,-0.6419425512788363,0.002064819036973162,0.004575600893690014,4.0,0.0,-0.025114503826352514,0.012296789543238991,-0.0076144416610513625
Eps_AB,-0.0022082350634873384,-0.04696001888982628,-0.021968083005718952,-0.09397280337294514,-0.045705580981205474,-0.04696001888982628,-0.05695355734330762,-2.0,-3.0,0.01124523392339027,-0.06800750283155878,0.0024828608339398477
Eps_EEps,-0.025980701127416853,-0.46260732507384705,-0.0012168456493100166,-0.05099795185595538,-0.07713756833533242,-0.46260732507384705,-0.02067634975004205,-2.0,-2.0,-0.1374655455593583,0.039193852517933406,-0.03451242171076924
Eps_R,-0.0026412903614279754,-0.047228067654280115,0.0010216872594281945,0.00043421004428774077,-0.005398599661858597,-0.047228067654280115,-0.00123764498415672,-2.0,-2.0,-0.00984037920923858,0.00248942574000784,-0.0025140746838369556
Fi_EFi,-9.951605769482655e-05,-0.002693396966588259,0.004728905881457024,-0.008698584290792306,-0.0033332784682699908,-0.002693396966588259,0.001317720393886522,-2.0,-2.0,-0.009436182682440796,0.0027099622027676215,-0.003501488584583973
Fi_MFi,5.3639346705869424e-05,-0.0011428198213403607,0.0346915693605121,-0.030306133441151337,-0.01195834075913385,-0.0011428198213403607,0.0069997618028709435,2.0,-1.0,-0.03613379696614311,0.018179967167904248,-0.01346144994564518
P_EP,-0.0004100384504053325,-0.011366132195846163,0.0032761570079697933,-0.8991375818682091,-0.00043969863547986456,-0.011366132195846163,0.0010127896349489025,0.0,-1.0,-0.006979333418213848,0.0025083083188018013,-0.002030828385628634
P_MP,0.00016611050704325934,0.007147834453260061,0.017454394084170932,-0.0050818482553653,0.0006754565167532928,0.007147834453260061,0.0068842248306929255,4.0,0.0,-0.051587680034010375,0.021391128258728177,-0.01923756731106755
P_Pho,9.328036920767745e-05,0.0036036631461836867,0.013941219840607477,-0.6881495028099607,0.00025566517179118585,0.0036036631461836867,0.004295769317227277,4.0,0.0,-0.02952618194975481,0.009919179631556429,-0.00899217177803269
T_LT,-2.3121301907094076e-05,-0.0018897398055185111,0.03792885731380702,-0.0028570755644277183,-0.00105346367631291,-0.0018897398055185111,-0.009201057555886393,2.0,-1.0,-0.002680491058913469,-0.0018681966340185637,-0.0015430124425230229
T_MT,4.4984498988656935e-05,0.0008639126593311397,0.12073985864633485,-0.0028953954717483936,-0.0010481954081935298,0.0008639126593311397,-0.031278053645915516,0.0,-1.0,4.1941598500911046e-05,-0.004251426499319434,-0.002067806161934832
Y_EpsY,-0.02774109652019204,-0.4952840872852714,5.5705105128645016e-05,0.009464082369082857,-0.05359444424413162,-0.4952840872852714,-0.06123073137479483,-2.0,-2.0,-0.0873539358509303,0.010931807894594426,-0.014895356054036454
Y_MY,-0.006149546468195623,0.012935520765646621,0.01735390319856922,0.02803960053322324,0.10570259795930004,0.012935520765646621,-1.0305583072423432,0.0,-1.0,-0.056325757448717234,0.09528170112682727,0.17544285216269317
