,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect,Food price effect,Food quantity effect,Food value effect
A_EpsA,0.0013353465106501284,0.03475375699269166,0.03453915384160622,0.1728871561663714,0.08140324530924027,0.03475375699269166,0.04370096410848562,4.0,0.0,-0.07936940021838962,0.08790828268523135,-0.029514267482050653
A_LA,0.0016251247587237643,0.048521595173008934,0.03716258594592681,-0.07650440487364535,-0.04171221383040786,0.048521595173008934,0.04718253989266955,4.0,0.0,-0.17871784269522564,0.14108587971781847,-0.05434330790724
A_MA,0.006930351156304944,0.18036946817869653,0.1792556934509748,0.8972717516328741,0.47157219519847327,0.18036946817869653,0.3931431270992096,4.0,0.0,-0.6554812864047656,0.5174890173469748,-0.1992437003569597
A_P,0.0004069272966005172,0.009941135379714238,-0.019065833550602207,-1.1116370791272554,0.044978361507649556,0.009941135379714238,0.03227740222167208,4.0,0.0,-0.06746650053747898,0.04901230810274712,-0.021220118703971155
A_W,0.0002648553227818086,0.006893130324426774,0.006850565502181105,0.03429078758664647,-0.6419425512788363,0.006893130324426774,0.008667737446809933,4.0,0.0,-0.015742287073941135,0.01743590626110653,-0.005853919397161707
Eps_AB,-0.0016133221093299025,-0.032186650876714254,-0.010786638086857092,-0.04106960832260248,-0.024678489009908273,-0.032186650876714254,-0.04353376505103887,-2.0,-3.0,0.09489086900733636,-0.04362308700073999,0.029416997865002792
Eps_EEps,-0.02596530371148619,-0.4570245995158992,0.008646407487289398,0.01760433174334824,-0.01439549505098165,-0.4570245995158992,0.06069977795114953,-2.0,-2.0,-0.06469467062094536,0.07338527889226451,0.00869060827131915
Eps_R,-0.0020843179884812565,-0.03692740038623131,0.0013457674629790972,0.0020876937147596137,-0.0008536845641922825,-0.03692740038623131,0.003705840565612556,-2.0,-2.0,-0.004061016816465956,0.004538620728152424,0.0004776039116864677
Fi_EFi,-2.628037698158222e-05,-0.0015727600636569875,0.010967562288088928,-0.0014420835694942298,-0.00089037046049924,-0.0015727600636569875,0.0029667781993142177,0.0,-2.0,-0.004457376021570147,0.005564430400934821,-0.0016343748545426828
Fi_MFi,0.0003118214015827928,0.004214415573298404,0.040079226017508685,-0.013568234863327925,-0.00729716453312583,0.004214415573298404,0.018222717345426444,2.0,-1.0,-0.026440882359477263,0.022927156372301093,-0.008054468745731916
P_EP,-0.0003597442054189949,-0.01019972106625928,0.0034279686115912256,-0.8991375818682091,0.004062869648418552,-0.01019972106625928,0.002367040443395259,2.0,-1.0,-0.003879546347773312,0.004954084090676991,-0.001355620350107925
P_MP,0.00040935250485511597,0.01076405797709101,0.028763383952956634,0.5448709891135399,0.027681251118514133,0.01076405797709101,0.022952493991271722,4.0,0.0,-0.033825843674295294,0.03023386707004839,-0.01030162983394672
P_Pho,0.00035731899716442164,0.009386954658352056,0.015235735744378864,-0.6881495028099607,0.019069291712447006,0.009386954658352056,0.010217858999425816,4.0,0.0,-0.015417173335058,0.02053401017172212,-0.005740551167841772
T_LT,5.955699437729755e-05,0.0002691661006855811,0.09100676918601946,-0.0013179396942380583,-0.0007100859231829183,0.0002691661006855811,0.018660512377556455,4.0,0.0,-0.0008770260018834454,0.001133886177987265,-0.0012006959551117164
T_MT,0.0001451201790578045,0.003836649015404831,0.14733109625038043,-0.0009221828059975895,-0.00033610687118150505,0.003836649015404831,-0.01773208528841734,2.0,-1.0,0.002701736081785255,-0.0034769524410131376,-0.0007752163592278827
Y_EpsY,-0.02709534557792725,-0.47877007816781963,0.005303399183098634,0.014014404626628556,-0.01727234028983224,-0.47877007816781963,0.03492989366360982,-2.0,-2.0,-0.03403226581691189,0.053351414774798066,0.019319148957886174
Y_MY,0.0245326470955164,0.5704219727039188,0.1289819516544055,0.49334482591798023,0.24518392640164688,0.5704219727039188,-0.496535331781379,4.0,0.0,0.21677983291700467,0.2722024575059066,0.43302717247330946
