,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect,Food price effect,Food quantity effect,Food value effect
A_LA,0.0010672170921913768,0.041064083724359594,0.03606265998995495,-0.09056933011478596,-0.04212802843617142,0.041064083724359594,-0.009457889673203393,4.0,0.0,-0.20274298290449272,0.1447754302288633,-0.05796755267562942
A_EpsA,0.0002806777760281348,0.00897649478886772,0.01177139088129886,0.03526377679207528,0.018520548000889522,0.00897649478886772,0.021024731173373168,4.0,0.0,-0.052982475942841646,0.037895159712716765,-0.015087316230124881
A_P,0.00020340503955239286,0.006589680358849484,-0.006776759136928323,-0.7402134722784176,0.02280015884250436,0.006589680358849484,0.02602695251886125,4.0,0.0,-0.06558631343380499,0.04695919096156037,-0.018627122472244614
A_W,9.918532869447132e-05,0.0031720950577462485,0.00415974962560961,0.01246144009556306,-0.3842849415925758,0.0031720950577462485,0.007429675771461495,4.0,0.0,-0.01872283714728784,0.013391312718889983,-0.005331524428397858
A_MA,0.0038845259196903527,0.12423294486923239,0.1629137640898226,0.48804382346702235,0.2563207881093982,0.12423294486923239,0.2909781969674122,4.0,0.0,-0.7332671791895218,0.5244616521405606,-0.20880552704896116
P_EP,-0.00024021385317936843,-0.0075257905977890215,0.0038170542693505283,-0.7438123683284646,0.0015344277486948645,-0.0075257905977890215,0.0020087592144643826,2.0,-1.0,-0.0050587571383345015,0.003709553086206631,-0.0013492040521278707
P_Pho,0.00014337353262626533,0.0045619899623175605,0.015669995737233045,-0.4765845600235129,0.006872888059443805,0.0045619899623175605,0.0077624584474906555,4.0,0.0,-0.019561947675128595,0.013977883874178868,-0.005584063800949727
P_MP,0.00030024536010549006,0.009553480994320778,0.03281528624420327,0.4801834560735596,0.01439284303436545,0.009553480994320778,0.016255734856906477,4.0,0.0,-0.040965608620342236,0.02927175400117468,-0.011693854619167558
Eps_AB,-0.0006111707649527575,-0.012468991951212337,-0.002054702421672161,0.025601994295128286,0.00982083041239839,-0.012468991951212337,-0.0347027538961542,-2.0,-3.0,0.0396056982119156,-0.028103217297081554,0.011502480914834044
Eps_EEps,-0.010601937582399511,-0.1822291822713635,0.006492022805304476,0.030006844126706046,-0.018279417585273128,-0.1822291822713635,0.02399593109999758,0.0,-1.0,-0.060745794837084144,0.06021810081783217,-0.0005276940192519772
Eps_R,-0.001378795905645309,-0.0242950654385924,0.001620392870027576,0.00652982284910191,-0.0011754369121571421,-0.0242950654385924,0.00162819284686215,0.0,-1.0,-0.00410462697017363,0.004016967243404328,-8.76597267693022e-05
Y_EpsY,-0.011353948105761756,-0.1968638568610303,0.005973005270065723,0.05761786114221119,-0.007917923440818236,-0.1968638568610303,-0.011396641580090919,0.0,-1.0,-0.022505699956139266,0.03373831348046594,0.011232613524326671
Y_MY,0.007955944854472447,0.2614958180324138,0.10111898011515574,0.28702815750204236,0.16405574909673404,0.2614958180324138,-0.6538286204894809,4.0,0.0,0.06877254014147961,0.21521270288424793,0.28398524302572753
Fi_EFi,-4.432538898446151e-05,-0.0017123705675401865,0.007170572698467215,-0.0027423063067560996,-0.0014945870566598915,-0.0017123705675401865,0.002632039528649082,0.0,-2.0,-0.005744361444072379,0.004133939125254478,-0.0016104223188179003
Fi_MFi,0.00019221806859163147,0.001739247074134555,0.04032729896277232,-0.0180349458228918,-0.008269676040664583,0.001739247074134555,0.014594754586366103,2.0,-1.0,-0.0317709781942114,0.022714410270370404,-0.009056567923840998
T_LT,1.0008546572807925e-05,-0.0008635002555022386,0.059912845007070725,-0.0014463897522506708,-0.000592649893239671,-0.0008635002555022386,0.01388579567842451,4.0,0.0,-0.0013945180660724507,0.0003637909824210542,-0.0010307270836513965
T_MT,0.00013047951009682908,0.0035842060759157107,0.15737326705952404,-0.001374217876452804,-0.00039992010625891834,0.0035842060759157107,-0.019682339094275685,2.0,-1.0,0.002428120940261715,-0.003621177661241364,-0.0011930567209796489
