,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect
A_LA,0.0010672170921913768,0.041064083724359594,0.03606265998995495,-0.09056933011478596,-0.04212802843617142,0.041064083724359594,-0.009457889673203393,1.0,0.0
A_EpsA,0.0002806777760281348,0.00897649478886772,0.01177139088129886,0.03526377679207528,0.018520548000889522,0.00897649478886772,0.021024731173373168,1.0,0.0
A_P,0.00020340503955239286,0.006589680358849484,-0.006776759136928323,-0.7402134722784176,0.02280015884250436,0.006589680358849484,0.02602695251886125,1.0,0.0
A_W,9.918532869447132e-05,0.0031720950577462485,0.00415974962560961,0.01246144009556306,-0.3842849415925758,0.0031720950577462485,0.007429675771461495,1.0,0.0
A_MA,0.0038845259196903527,0.12423294486923239,0.1629137640898226,0.48804382346702235,0.2563207881093982,0.12423294486923239,0.2909781969674122,1.0,0.0
P_EP,-0.00024021385317936843,-0.0075257905977890215,0.0038170542693505283,-0.7438123683284646,0.0015344277486948645,-0.0075257905977890215,0.0020087592144643826,1.0,-1.0
P_Pho,0.00014337353262626533,0.0045619899623175605,0.015669995737233045,-0.4765845600235129,0.006872888059443805,0.0045619899623175605,0.0077624584474906555,1.0,0.0
P_MP,0.00030024536010549006,0.009553480994320778,0.03281528624420327,0.4801834560735596,0.01439284303436545,0.009553480994320778,0.016255734856906477,1.0,0.0
Eps_AB,-0.0006111707649527575,-0.012468991951212337,-0.002054702421672161,0.025601994295128286,0.00982083041239839,-0.012468991951212337,-0.0347027538961542,-1.0,-1.0
Eps_EEps,-0.010601937582399511,-0.1822291822713635,0.006492022805304476,0.030006844126706046,-0.018279417585273128,-0.1822291822713635,0.02399593109999758,0.0,-1.0
Eps_R,-0.001378795905645309,-0.0242950654385924,0.001620392870027576,0.00652982284910191,-0.0011754369121571421,-0.0242950654385924,0.00162819284686215,0.0,-1.0
Y_EpsY,-0.011353948105761756,-0.1968638568610303,0.005973005270065723,0.05761786114221119,-0.007917923440818236,-0.1968638568610303,-0.011396641580090919,0.0,-1.0
Y_MY,0.007955944854472447,0.2614958180324138,0.10111898011515574,0.28702815750204236,0.16405574909673404,0.2614958180324138,-0.6538286204894809,1.0,0.0
Fi_EFi,-4.432538898446151e-05,-0.0017123705675401865,0.007170572698467215,-0.0027423063067560996,-0.0014945870566598915,-0.0017123705675401865,0.002632039528649082,0.0,-1.0
Fi_MFi,0.00019221806859163147,0.001739247074134555,0.04032729896277232,-0.0180349458228918,-0.008269676040664583,0.001739247074134555,0.014594754586366103,1.0,-1.0
T_LT,1.0008546572807925e-05,-0.0008635002555022386,0.059912845007070725,-0.0014463897522506708,-0.000592649893239671,-0.0008635002555022386,0.01388579567842451,1.0,0.0
T_MT,0.00013047951009682908,0.0035842060759157107,0.15737326705952404,-0.001374217876452804,-0.00039992010625891834,0.0035842060759157107,-0.019682339094275685,1.0,-1.0
